Name,Anzucht,Art,Bestand,Einheit,Kategorie,URL
Saladin,15. Januar 2025 → 15. Juli 2025,Eis,"0,91",g,Salat Kopf,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/eissalat/saladin-g356
Lucinde,15. Februar 2025,grün,"0,7",g,Salat Kopf,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/kopfsalat/lucinde-g603
Laurenzio,1. März 2025,rot,,g,Salat Kopf,https://www.samenhaus.de/kopfsalat-laurenzio-kopfsalatsamen-von-samen-pfann/a-537433?srsltid=AfmBOorZmcEjcse8e-BjUae4P7_fkPvP1JM_XzW7NBimUsNHobbL0hL3
Wintersonne,1. April 2025 → 5. Juli 2025,gelb,0,g,Rote Beete,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/rote-bete/wintersonne-g768
Tondo di Chioggia,1. April 2025 → 10. Juli 2025,zweifarbig,24,g,Rote Beete,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/rote-bete/tondo-di-chioggia-g349
Lollo Rossa,15. Februar 2025 → 15. Juli 2025,rot,"0,8",g,Salat Pflück,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/lollosalat/lollo-rossa-g380
Jannis,1. April 2025 → 5. Juli 2025,rund,0,g,Rote Beete,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/rote-bete/jannis-g343
Piroska,1. März 2025 → 30. April 2025,rot,0,g,Zwiebel,https://samen-fetzer.de/steckzwiebeln-piroska-rot/20834
Sturon,1. März 2025 → 30. April 2025,gelb,0,g,Zwiebel,https://samen-fetzer.de/steckzwiebeln-sturon/20814
Verdil,1. März 2025 → 15. April 2025,,20,g,Spinat,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/spinatspinat-aehnliche/spinat/winterriesen-verdil-g414
Sora,1. März 2025 → 31. August 2025,rund,10,g,Radies,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/radies/sora-g332
Red Sun,1. März 2025 → 30. April 2025,Schalotte,0,g,Zwiebel,https://samen-fetzer.de/pflanzschalotten-red-sun/20883
Ruca,1. März 2025 → 31. August 2025,,20,g,Salatrauke,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/rucola/ruca-salatrauke-g480
Butterflay,1. März 2025 → 15. April 2025,,0,g,Spinat,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/spinatspinat-aehnliche/spinat/butterflay-g410
Foniro,1. April 2025 → 5. Juli 2025,walzenförmig,4,g,Rote Beete,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/rote-bete/foniro-g341
Kresse,1. Januar 2025 → 31. Dezember 2025,Kresse,,g,Kräuter,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kresse/einfache-kresse-g250
Country Taste F1,15. Februar 2025 → 15. März 2025,Fleisch,0,K,Tomate,https://saatgut-dillmann.de/produkt/fleischtomate-country-taste-f1/
Cuore de Bue,15. Februar 2025 → 15. März 2025,Fleisch,100,K,Tomate,
Roma,15. Februar 2025 → 15. März 2025,Eier,100,K,Tomate,
Sparta F1,15. Februar 2025 → 15. März 2025,Stab,0,K,Tomate,https://saatgut-dillmann.de/produkt/sparta-f1-maxituete/
Heart of Gold,15. Februar 2025 → 15. März 2025,Fleisch,18,K,Tomate,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/tomaten/heart-of-gold-g750
Trixi,15. Februar 2025 → 15. März 2025,Cocktail rot,20,K,Tomate,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/tomaten/trixi-g659
Bellarubin,15. Februar 2025 → 15. März 2025,Stab,0,K,Tomate,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/tomaten/bellarubin-g802
Marmorossa,15. Februar 2025 → 15. März 2025,Fleisch,0,K,Tomate,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/tomaten/marmorossa-g766
Parat,25. April 2025 → 5. September 2025,rund,8,g,Radies,
Previa F1,15. Februar 2025 → 15. März 2025,Fleisch,0,K,Tomate,https://saatgut-dillmann.de/produkt/fleisch-tomate-previa-f1/
Asiasalat,1. April 2025 → 30. September 2025,Asia,"9,26",g,Salat sonstige,https://www.bingenheimersaatgut.de/de/bio-saatgut/einfach-gaertnern/aktions-und-mischtueten/pikantes-asia-quartett-g727
Cocktail,15. Februar 2025 → 15. März 2025,Cocktail gelb,100,K,Tomate,https://samen-fetzer.de/cocktailtomaten-supersweet-100-f1/93540
Yolo Wonder,1. Februar 2025 → 28. Februar 2025,block,100,K,Paprika,
Neusiedler Ideal,1. Februar 2025 → 28. Februar 2025,block,20,K,Paprika,https://www.kiepenkerl.de/block-paprikasamen-neusiedler-ideal-1008750/
Tabaluga F1,1. Februar 2025 → 28. Februar 2025,lang,0,K,Chili,https://saatgut-dillmann.de/produkt/peperoni-tabaluga-f1/
Hamlet F1,15. Februar 2025 → 15. März 2025,Stab,5,K,Tomate,https://saatgut-dillmann.de/produkt/hamlet-f1-maxituete/
Bendigo F1,1. Februar 2025 → 28. Februar 2025,block,0,K,Paprika,https://saatgut-dillmann.de/produkt/paprika-bendigo-f1/
Zlata,1. Februar 2025 → 28. Februar 2025,spitz,40,K,Paprika,
Prairie Fire,1. Februar 2025 → 28. Februar 2025,,50,K,Chili,
Pimento Padron,1. Februar 2025 → 28. Februar 2025,spitz,100,K,Paprika,
California Wonder F1,1. Februar 2025 → 28. Februar 2025,block,0,K,Paprika,https://saatgut-dillmann.de/produkt/paprika-california-wonder-f1/
Shakira F1,1. Februar 2025 → 28. Februar 2025,lang,0,K,Chili,https://saatgut-dillmann.de/produkt/peperoni-shakira-f1/
Habanero,1. Februar 2025 → 28. Februar 2025,,50,K,Chili,
Karpia F1,1. Februar 2025 → 28. Februar 2025,spitz,0,K,Paprika,https://saatgut-dillmann.de/produkt/paprika-karpia-f1/
Agio F1,1. Februar 2025 → 28. Februar 2025,spitz,0,K,Paprika,https://saatgut-dillmann.de/produkt/ungarischer-paprika-agio-f1/
Monte F1,1. Februar 2025 → 28. Februar 2025,block gelb,0,K,Paprika,https://saatgut-dillmann.de/produkt/paprika-monte-f1/
Coletti F1,1. Februar 2025 → 28. Februar 2025,block gelb,0,K,Paprika,https://saatgut-dillmann.de/produkt/paprika-coletti-f1/
Kostats F1,1. Februar 2025 → 28. Februar 2025,spitz,0,K,Paprika,https://saatgut-dillmann.de/produkt/paprika-kostas-f1-2/
Ruben,1. Februar 2025 → 28. Februar 2025,Jalapeno,10,K,Chili,https://www.bingenheimersaatgut.de/de/catalogsearch/result/?q=Jalapeno+Ruben
Red Gunda,1. Februar 2025 → 28. Februar 2025,lang,0,K,Chili,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/paprika/chili/red-gunda-g804
Amboy F1,1. Februar 2025 → 28. Februar 2025,lang,0,K,Chili,https://saatgut-dillmann.de/produkt/peperoni-amboy-f1/
Patrizio F1,1. Februar 2025 → 28. Februar 2025,block,0,K,Paprika,https://saatgut-dillmann.de/produkt/paprika-patrizio-f1/
Reina F1,1. Februar 2025 → 28. Februar 2025,block,0,K,Paprika,https://saatgut-dillmann.de/produkt/paprika-reina-f1/
Nantaise 2/Fynn,1. März 2025 → 30. Juni 2025,100-120 d,0,K,Möhren,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/moehren/nantaise-2-fynn-g287
Briweri,1. Januar 2025 → 15. Februar 2025,grün,"0,05",g,Salat Kopf,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/kopfsalat/briweri-g359
Vitella,1. März 2025 → 30. Juni 2025,100-120 d,0,K,Möhren,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/moehren/vitella-g773
Weiße Küttiger,1. März 2025 → 30. Juni 2025,130-140 d,0,K,Möhren,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/moehren/weisse-kuettiger-g731
Lucilla F1,1. Februar 2025 → 28. Februar 2025,gestreift,8,K,Aubergine,Kiepenkerl
Romance F1,1. März 2025 → 30. Juni 2025,120 d,0,K,Möhren,https://saatgut-dillmann.de/produkt/m-romance-f1-maxituete/
Asap (MOG-SG-104),1. März 2025 → 30. Juni 2025,90-95 d,4000,K,Möhren,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/moehren/asap-mog-sg-104-g795
Dolciva,1. März 2025 → 30. Juni 2025,130 d,0,K,Möhren,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/moehren/dolciva-g660
Zora,1. Februar 2025 → 28. Februar 2025,violett,0,K,Aubergine,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/aubergine/zora-g641
Oxhella,1. März 2025 → 31. Mai 2025,120-140 d,0,K,Möhren,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/moehren/oxhella-g288
Nominator F1,1. März 2025 → 30. Juni 2025,95-100 d,0,K,Möhren,https://saatgut-dillmann.de/produkt/moehre-nominator-f1-maxituete/
Gelbe Gochsheimer,1. März 2025 → 31. Mai 2025,140-160 d,0,K,Möhren,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/moehren/gelbe-gochsheimer-g744
Elisa F1,1. Februar 2025 → 28. Februar 2025,violett,0,K,Aubergine,https://saatgut-dillmann.de/produkt/aubergine-elisa-f1-2/
Finja,20. Februar 2025 → 31. Juli 2025,grün,"0,32",g,Salat Kopf,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/kopfsalat/finja-g790
Palla Rossa 2,1. Juni 2025 → 31. Juli 2025,Radicchio,100,K,Salat sonstige,https://www.dehner.de/de/de/product/dehner-samen-radicchio-palla-rossa-2-X000627273/?sku=627273
Lotta,20. Februar 2025 → 31. Juli 2025,grün,"0,89",g,Salat Kopf,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/kopfsalat/lotta-g793?srsltid=AfmBOopEmQZYPNttGNkqRJsJwWgGpBD51OOQucyD6OLrRR_XqnOa3WAx
Ronka,1. März 2025 → 31. Mai 2025,140-150 d,0,K,Möhren,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/moehren/ronka-g803
Till,15. Februar 2025 → 10. Mai 2025,Eichblatt grün,"1,11",g,Salat Pflück,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/eichblattsalat/till-g382
Valmain,15. Januar 2025 → 15. Juli 2025,Romana,"0,69",g,Salat sonstige,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/romanasalat/valmaine-bsag-sak-pyr-g376
Krischan,15. Januar 2025 → 15. Juli 2025,Batavia rot,0,g,Salat Pflück,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/bataviasalat/krischan-g829
Lollo Bionda,15. Februar 2025 → 15. Juli 2025,grün,"1,13",g,Salat Pflück,Sativa
Pirat,1. April 2025 → 30. Juni 2025,grün,700,K,Salat Kopf,https://www.dehner.de/de/de/product/dehner-samen-sommerkopfsalat-pirat-X000625764/?sku=625764
Cerbiatta,15. Februar 2025 → 15. Juli 2025,Eichblatt grün,50,K,Salat Pflück,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/eichblattsalat/cerbiatta-g602
Saragossa,15. Januar 2025 → 15. Juli 2025,Batavia grün,"0,73",g,Salat Pflück,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/bataviasalat/saragossa-g655
Laibacher Eis,1. April 2025 → 31. Juli 2025,Eis,200,,Salat Kopf,Grüner Jan
Ovation,15. Februar 2025 → 15. August 2025,grün,100,K,Salat Kopf,https://www.dehner.de/de/de/product/dehner-samen-kopfsalat-ovation-X000625442/?sku=625442&em_src=kw&em_cmp=google/nonbrand/PLA-DE/Pflanzen/Blumenzwiebeln_Saatgut/Gemuesesamen/625442&gad_source=1&gclid=Cj0KCQiAqL28BhCrARIsACYJvkfMC63AHq4RGd_m4a9YzqKdgspsBu3OTLgsnd7MAKX3giN6uUh8l8IaAqqwEALw_wcB
Rubinette,15. Februar 2025 → 15. Juli 2025,Eichblatt rot,"0,61",g,Salat Pflück,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/salat/eichblattsalat/rubinette-g379b
Blonde a coeur plein,15. Juni 2025 → 15. Juli 2025,Endivien,"1,88",g,Salat sonstige,Frankonia
Zuckerhut,15. Juni 2025 → 15. Juli 2025,Zichoriensalat,"0,31",g,Salat sonstige,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/zichoriensalate/zuckerhut-g390
Rasko,15. Januar 2025 → 15. Juli 2025,weiß,0,g,Kohlrabi,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/kohlrabi/rasko-g229
Azur Star,15. Januar 2025 → 15. Juli 2025,violett,"0,42",g,Kohlrabi,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/kohlrabi/azur-star-g227
Superschmelz,15. Mai 2025 → 15. Juni 2025,weiß,"1,5",g,Kohlrabi,Finest Garden
Mostruosa di New York,1. Februar 2025 → 28. Februar 2025,weiß,"1,84",g,Aubergine,Semillas Batlle
Lech F1,15. Januar 2025 → 15. Juli 2025,weiß,0,g,Kohlrabi,https://saatgut-dillmann.de/produkt/kohlrabi-lech-f1/
Ruca,1. März 2025 → 31. Juli 2025,Rauke,"19,27",g,Salat sonstige,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/rucola/ruca-salatrauke-g480
Violetta di Firenze,1. Februar 2025 → 28. Februar 2025,violett,50,K,Aubergine,Sanrival
Fridolin,15. Januar 2025 → 15. Juli 2025,weiß,0,g,Kohlrabi,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/kohlrabi/fridolin-g730
Antar F1,1. Februar 2025 → 28. Februar 2025,violett,60,K,Aubergine,https://www.dehner.de/de/de/product/dehner-samen-aubergine-antar-X000627851/?categoryId=-s-1108
Granat,1. Februar 2025 → 30. April 2025,rot,"0,87",g,Kohl,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/rotkohl/granat-g209
Macun,1. Mai 2025 → 31. Mai 2025,Chicoree,"0,47",g,Salat sonstige,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/chicoree/macun-g652
Orinoko,15. Januar 2025 → 15. Juli 2025,weiß,0,g,Kohlrabi,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/kohlrabi/orinoko-g231
Enrico,15. Januar 2025 → 30. April 2025,weiß,"0,83",g,Kohlrabi,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/kohlrabi/enrico-g729
Resima F1,1. Februar 2025 → 30. April 2025,rot,30,K,Kohl,https://saatgut-dillmann.de/produkt/rotkohl-resima-f1/
Filderkraut,1. März 2025 → 30. April 2025,spitz,"1,23",g,Kohl,https://www.dehner.de/de/de/product/dehner-samen-weisskohl-filderkraut-X000621441/
Odysseus,1. Februar 2025 → 15. März 2025,,100,K,Blumenkohl,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/blumenkohl/odysseus-g199
